"","",""
"PERSOANE CERCETATE, TRIMISE ÎN JUDECATĂ ȘI CONDAMNATE ÎN PERIOADA IANUARIE - DECEMBRIE 2022","",""
"","",""
"Persoane cercetate","10783",""
"Persoane trimise în judecată","2554",""
"Persoane condamnate","1161",""
"","",""
"PERSOANE CONDAMNATE ÎN PERIOADA IANUARIE - DECEMBRIE 2022, PE ÎNCADRARE JURIDICĂ","",""
"","",""
"Art.2 din Legea nr. 143/2000","664",""
"Art.3 din Legea nr. 143/2000","68",""
"Art.4 din Legea nr. 143/2000","352",""
"Legea nr. 194/2011","77",""
"","",""
"PERSOANE CONDAMNATE ÎN PERIOADA IANUARIE - DECEMBRIE 2022, PE SEXE","",""
"","",""
"","Majori","Minori"
"Bărbați","992","5"
"Femei","164","0"
"","",""
"SITUAȚIA GRUPĂRILOR INFRACȚIONALE IDENTIFICATE ÎN PERIOADA IANUARIE - DECEMBRIE 2022","",""
"","",""
"Grupări identificate","58",""
"Număr persoane implicate în grupări","398",""
"","",""
"SITUAȚIA PEDEPSELOR APLICATE PENTRU INFRACȚIUNI LA REGIMUL DROGURILOR ÎN PERIOADA IANUARIE - DECEMBRIE 2022","",""
"","",""
"","Legea nr. 143/2000","Legea nr. 194/2011"
"Executarea pedepsei","439","44"
"Suspendarea pedepsei","473","33"
"Amendă penală","93","0"
"Amânarea executării pedepsei","74","0"
"Măsuri neprivative de libertate-minori","5","0"
